Date_received,Product,Sub_product,Issue,Sub_issue,Consumer_complaint_narrative,Company_public_response,Company,State,ZIP_code,Tags,Consumer_consent_provided,Submitted_via,Date_sent_to_company,Company_response_to_consumer,Timely_response,Consumer_disputed,Complaint_ID,intent,query,response,Priority_Level,Resolution_Status,Customer_Satisfaction_Score,Agent_ID,Resolution_Time_Hours,Category,Channel_Rating,Follow_up_Required
2022-01-01 00:00:00.000000000,Current Account,MasterCard,Card Block,Chat,I faced discrimination at your branch,Yes,Regional Credit Union,FL,70263,None,Yes,Mobile App,2022-01-02 00:00:00.000000000,Closed with explanation,Yes,No,COMP_000001,complaint_management,I faced discrimination at your branch,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Resolved,4,AGT_089,8.261351821294596,Complaint Management,3,No
2022-01-01 05:15:25.385077015,Home Loan,Platinum,Interest Rate,Mobile App,My issue was not resolved properly,No,Regional Credit Union,NC,90038,Older American,No,Phone,2022-01-02 05:15:25.385077015,Closed with explanation,Yes,No,COMP_000002,complaint_management,My issue was not resolved properly,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Resolved,5,AGT_008,0.839849314643498,Complaint Management,1,Yes
2022-01-01 10:30:50.770154030,Savings Account,MasterCard,Card Unblock,Email,Want to file a complaint about poor service,Yes,XYZ Financial,MI,81211,None,No,Phone,2022-01-03 10:30:50.770154030,Closed with explanation,Yes,Yes,COMP_000003,complaint_management,Want to file a complaint about poor service,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_053,21.208928712195537,Complaint Management,1,Yes
2022-01-01 15:46:16.155231046,Credit Card,Visa,Bill Payment,Online Issue,Want to file a formal complaint I'm very frustrated.,No,National Bank,GA,58190,None,Yes,Email,2022-01-01 15:46:16.155231046,Closed,No,No,COMP_000004,complaint_management,Want to file a formal complaint I'm very frustrated.,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Low,Pending,4,AGT_034,2.40656652927132,Complaint Management,5,No
2022-01-01 21:01:41.540308061,Car Loan,Gold,Card Block,Online Issue,Need assistance with loan prepayment,No,Digital Bank Corp,NC,10206,Student,Yes,Web,2022-01-03 21:01:41.540308061,Closed,Yes,No,COMP_000005,loan_assistance,Need assistance with loan prepayment,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Resolved,5,AGT_015,33.809979540926,Loan Assistance,4,No
2022-01-02 02:17:06.925385077,Debit Card,Premium,Interest Rate,Phone Call,Need assistance with loan prepayment Please help me quickly.,No,National Bank,FL,58925,None,Yes,Web,2022-01-02 02:17:06.925385077,Closed with explanation,Yes,No,COMP_000006,loan_assistance,Need assistance with loan prepayment Please help me quickly.,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Pending,1,AGT_003,0.16743382035961552,Loan Assistance,3,No
2022-01-02 07:32:32.310462092,Fixed Deposit,Gold,Loan Payment,Online Issue,Unable to pay my credit card bill online This is the third time I'm calling.,Yes,ABC Bank,MI,72003,Military,Yes,Email,2022-01-02 07:32:32.310462092,Closed with explanation,Yes,No,COMP_000007,bill_payments,Unable to pay my credit card bill online This is the third time I'm calling.,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,Medium,Resolved,5,AGT_096,57.33266282614417,Bill Payments,3,No
2022-01-02 12:47:57.695539107,Fixed Deposit,Gold,Card Unblock,Chat,Want to schedule recurring payments,No,Digital Bank Corp,CA,35342,None,Yes,Mobile App,2022-01-03 12:47:57.695539107,Closed with explanation,Yes,No,COMP_000008,bill_payments,Want to schedule recurring payments,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,Medium,Resolved,5,AGT_003,21.450681710270004,Bill Payments,3,Yes
2022-01-02 18:03:23.080616123,Home Loan,Platinum,Bill Payment,Branch Visit,Need to report my stolen credit card,No,XYZ Financial,GA,47504,None,Yes,Web,2022-01-04 18:03:23.080616123,Closed,Yes,No,COMP_000009,card_management,Need to report my stolen credit card,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Low,Resolved,4,AGT_002,134.0876766750045,Card Management,4,No
2022-01-02 23:18:48.465693138,Personal Loan,Rupay,Card Block,Branch Visit,I need information about my home loan,No,ABC Bank,GA,39299,Older American,Yes,Mobile App,2022-01-03 23:18:48.465693138,Closed with explanation,Yes,No,COMP_000010,loan_assistance,I need information about my home loan,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,High,Resolved,2,AGT_066,28.255566879715502,Loan Assistance,5,Yes
2022-01-03 04:34:13.850770154,Fixed Deposit,Standard,Account Access,Chat,Can you help me check my account balance I'm very frustrated.,No,ABC Bank,TX,55525,Student,Yes,Mobile App,2022-01-03 04:34:13.850770154,Closed with explanation,No,No,COMP_000011,balance_inquiry,Can you help me check my account balance I'm very frustrated.,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Medium,Resolved,1,AGT_069,6.278529628586345,Balance Inquiry,3,No
2022-01-03 09:49:39.235847169,Savings Account,Premium,Lost Card,Email,I need to check my account balance but cannot access online banking,Yes,ABC Bank,IL,28711,Student,Yes,Phone,2022-01-03 09:49:39.235847169,Closed with explanation,Yes,No,COMP_000012,balance_inquiry,I need to check my account balance but cannot access online banking,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_025,12.048407489452433,Balance Inquiry,2,No
2022-01-03 15:05:04.620924184,Current Account,Rupay,Fees,ATM Issue,Please block my card as it's been stolen,Yes,ABC Bank,NC,88069,Student,Yes,Email,2022-01-05 15:05:04.620924184,Closed with explanation,Yes,Yes,COMP_000013,card_management,Please block my card as it's been stolen,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,High,Resolved,4,AGT_065,1.7659906487403807,Card Management,4,No
2022-01-03 20:20:30.006001200,Credit Card,MasterCard,Loan Payment,ATM Issue,Want to file a complaint about poor service I've been waiting for days.,No,ABC Bank,FL,80313,None,Yes,Web,2022-01-03 20:20:30.006001200,Closed,Yes,No,COMP_000014,complaint_management,Want to file a complaint about poor service I've been waiting for days.,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Pending,4,AGT_094,18.669850624673813,Complaint Management,4,Yes
2022-01-04 01:35:55.391078215,Credit Card,Platinum,Card Block,Branch Visit,Need help with card activation process,No,XYZ Financial,IL,42217,None,No,Phone,2022-01-04 01:35:55.391078215,Closed with explanation,No,No,COMP_000015,card_management,Need help with card activation process,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,1,AGT_001,74.35448396535136,Card Management,5,No
